Statistische Informationssystem Berlin-Brandenburg (StatIS-BBB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Einwohnerregisterstatistik Berlin (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region by Stichtag and Kontinente/Staaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counting: Summe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Summation,Summe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stichtag,31.12.2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kontinente/Staaten,Deutschland,Deutschland - Annotations,Europäische Union (EU),Europäische Union (EU) - Annotations,Europa,Europa - Annotations,Belgien,Belgien - Annotations,Bulgarien,Bulgarien - Annotations,Dänemark,Dänemark - Annotations,Estland,Estland - Annotations,Finnland,Finnland - Annotations,Frankreich,Frankreich - Annotations,Griechenland,Griechenland - Annotations,Irland,Irland - Annotations,Italien,Italien - Annotations,Kroatien,Kroatien - Annotations,Lettland,Lettland - Annotations,Litauen,Litauen - Annotations,Luxemburg,Luxemburg - Annotations,Malta,Malta - Annotations,Niederlande,Niederlande - Annotations,Österreich,Österreich - Annotations,Polen,Polen - Annotations,Portugal,Portugal - Annotations,Rumänien,Rumänien - Annotations,Schweden,Schweden - Annotations,Slowakei,Slowakei - Annotations,Slowenien,Slowenien - Annotations,Spanien,Spanien - Annotations,Tschechische Republik,Tschechische Republik - Annotations,Ungarn,Ungarn - Annotations,Vereinigtes Königreich,Vereinigtes Königreich - Annotations,Zypern,Zypern - Annotations,Ehemalige Tschechoslowakei,Ehemalige Tschechoslowakei - Annotations,Albanien,Albanien - Annotations,Andorra,Andorra - Annotations,Bosnien und Herzegowina,Bosnien und Herzegowina - Annotations,Island,Island - Annotations,Kosovo,Kosovo - Annotations,Liechtenstein,Liechtenstein - Annotations,Mazedonien,Mazedonien - Annotations,"Moldau, Republik","Moldau, Republik - Annotations",Monaco,Monaco - Annotations,Montenegro,Montenegro - Annotations,Norwegen,Norwegen - Annotations,Russische Föderation,Russische Föderation - Annotations,San Marino,San Marino - Annotations,Schweiz,Schweiz - Annotations,Serbien,Serbien - Annotations,Türkei,Türkei - Annotations,Ukraine,Ukraine - Annotations,Vatikanstadt,Vatikanstadt - Annotations,Weißrussland,Weißrussland - Annotations,Britische Überseegebiete in Europa,Britische Überseegebiete in Europa - Annotations,Dänische Überseegebiete in Europa,Dänische Überseegebiete in Europa - Annotations,Norwegische Überseegebiete in Europa,Norwegische Überseegebiete in Europa - Annotations,Übriges Europa,Übriges Europa - Annotations,Ehemalige Sowjetunion,Ehemalige Sowjetunion - Annotations,Ehemaliges Gesamtjugoslawien,Ehemaliges Gesamtjugoslawien - Annotations,Ehemalige Bundesrepublik Jugoslawien,Ehemalige Bundesrepublik Jugoslawien - Annotations,Ehemaliges Serbien und Montenegro,Ehemaliges Serbien und Montenegro - Annotations,Ehemaliges Serbien (einschl. Kosovo),Ehemaliges Serbien (einschl. Kosovo) - Annotations,Ägypten,Ägypten - Annotations,Algerien,Algerien - Annotations,Libyen,Libyen - Annotations,Marokko,Marokko - Annotations,Tunesien,Tunesien - Annotations,Spanische Überseegebiete in Afrika,Spanische Überseegebiete in Afrika - Annotations,Benin,Benin - Annotations,Burkina Faso,Burkina Faso - Annotations,Cabo Verde,Cabo Verde - Annotations,Côte d'Ivoire,Côte d'Ivoire - Annotations,Gambia,Gambia - Annotations,Ghana,Ghana - Annotations,Guinea,Guinea - Annotations,Guinea-Bissau,Guinea-Bissau - Annotations,Liberia,Liberia - Annotations,Mali,Mali - Annotations,Mauretanien,Mauretanien - Annotations,Niger,Niger - Annotations,Nigeria,Nigeria - Annotations,Senegal,Senegal - Annotations,Sierra Leone,Sierra Leone - Annotations,Togo,Togo - Annotations,Äquatorialguinea,Äquatorialguinea - Annotations,Gabun,Gabun - Annotations,Kamerun,Kamerun - Annotations,"Kongo, Demokratische Republik","Kongo, Demokratische Republik - Annotations","Kongo, Republik","Kongo, Republik - Annotations",Sâo Tomé und Príncípe,Sâo Tomé und Príncípe - Annotations,Sudan,Sudan - Annotations,Südsudan,Südsudan - Annotations,Tschad,Tschad - Annotations,Zentralafrikanische Republik,Zentralafrikanische Republik - Annotations,Ehemaliger Sudan,Ehemaliger Sudan - Annotations,Äthiopien,Äthiopien - Annotations,Burundi,Burundi - Annotations,Dschibuti,Dschibuti - Annotations,Eritrea,Eritrea - Annotations,Kenia,Kenia - Annotations,Komoren,Komoren - Annotations,Madagaskar,Madagaskar - Annotations,Mauritius,Mauritius - Annotations,Ruanda,Ruanda - Annotations,Seychellen,Seychellen - Annotations,Somalia,Somalia - Annotations,Tansania,Tansania - Annotations,Uganda,Uganda - Annotations,Angola,Angola - Annotations,Botsuana,Botsuana - Annotations,Lesotho,Lesotho - Annotations,Malawi,Malawi - Annotations,Mosambik,Mosambik - Annotations,Namibia,Namibia - Annotations,Sambia,Sambia - Annotations,Simbabwe,Simbabwe - Annotations,Südafrika,Südafrika - Annotations,Swasiland,Swasiland - Annotations,Britische Überseegebiete in Afrika,Britische Überseegebiete in Afrika - Annotations,Französische Überseegebiete in Afrika,Französische Überseegebiete in Afrika - Annotations,Übriges Afrika,Übriges Afrika - Annotations,Kanada,Kanada - Annotations,Vereinigte Staaten / USA,Vereinigte Staaten / USA - Annotations,Antigua und Barbuda,Antigua und Barbuda - Annotations,Bahamas,Bahamas - Annotations,Barbados,Barbados - Annotations,Belize,Belize - Annotations,Costa Rica,Costa Rica - Annotations,Dominica,Dominica - Annotations,Dominikanische Republik,Dominikanische Republik - Annotations,El Salvador,El Salvador - Annotations,Grenada,Grenada - Annotations,Guatemala,Guatemala - Annotations,Haiti,Haiti - Annotations,Honduras,Honduras - Annotations,Jamaika,Jamaika - Annotations,Kuba,Kuba - Annotations,Mexiko,Mexiko - Annotations,Nicaragua,Nicaragua - Annotations,Panama,Panama - Annotations,St. Kitts und Nevis,St. Kitts und Nevis - Annotations,St. Lucia,St. Lucia - Annotations,St. Vincent und die Grenadinen,St. Vincent und die Grenadinen - Annotations,Trinidad und Tobago,Trinidad und Tobago - Annotations,Argentinien,Argentinien - Annotations,Bolivien,Bolivien - Annotations,Brasilien,Brasilien - Annotations,Chile,Chile - Annotations,Ecuador,Ecuador - Annotations,Guyana,Guyana - Annotations,Kolumbien,Kolumbien - Annotations,Paraguay,Paraguay - Annotations,Peru,Peru - Annotations,Suriname,Suriname - Annotations,Uruguay,Uruguay - Annotations,Venezuela,Venezuela - Annotations,Britische Überseegebiete in Amerika,Britische Überseegebiete in Amerika - Annotations,Dänische Überseegebiete in Amerika,Dänische Überseegebiete in Amerika - Annotations,Französische Überseegebiete in Amerika,Französische Überseegebiete in Amerika - Annotations,Niederländische Überseegebiete in Amerika,Niederländische Überseegebiete in Amerika - Annotations,US-Überseegebiete in Amerika,US-Überseegebiete in Amerika - Annotations,Übriges Amerika,Übriges Amerika - Annotations,Armenien,Armenien - Annotations,Aserbaidschan,Aserbaidschan - Annotations,Bahrain,Bahrain - Annotations,Georgien,Georgien - Annotations,Irak,Irak - Annotations,Iran,Iran - Annotations,Israel,Israel - Annotations,Jemen,Jemen - Annotations,Jordanien,Jordanien - Annotations,Katar,Katar - Annotations,Kuwait,Kuwait - Annotations,Libanon,Libanon - Annotations,Oman,Oman - Annotations,Palästinensische Gebiete,Palästinensische Gebiete - Annotations,Saudi-Arabien,Saudi-Arabien - Annotations,Syrien,Syrien - Annotations,Vereinigte Arabische Emirate,Vereinigte Arabische Emirate - Annotations,Übriges Asien,Übriges Asien - Annotations,Ehemalige Demokr. Volksrepublik Jemen,Ehemalige Demokr. Volksrepublik Jemen - Annotations,Afghanistan,Afghanistan - Annotations,China,China - Annotations,Hongkong,Hongkong - Annotations,Japan,Japan - Annotations,Kasachstan,Kasachstan - Annotations,Kirgisistan,Kirgisistan - Annotations,"Korea, Demokr. Volksrepublik","Korea, Demokr. Volksrepublik - Annotations","Korea, Republik","Korea, Republik - Annotations",Macau,Macau - Annotations,Mongolei,Mongolei - Annotations,Tadschikistan,Tadschikistan - Annotations,Taiwan,Taiwan - Annotations,Turkmenistan,Turkmenistan - Annotations,Usbekistan,Usbekistan - Annotations,Bangladesch,Bangladesch - Annotations,Bhutan,Bhutan - Annotations,Brunei Darussalam,Brunei Darussalam - Annotations,Indien,Indien - Annotations,Indonesien,Indonesien - Annotations,Kambodscha,Kambodscha - Annotations,Laos,Laos - Annotations,Malaysia,Malaysia - Annotations,Malediven,Malediven - Annotations,Myanmar,Myanmar - Annotations,Nepal,Nepal - Annotations,Pakistan,Pakistan - Annotations,Philippinen,Philippinen - Annotations,Singapur,Singapur - Annotations,Sri Lanka,Sri Lanka - Annotations,Thailand,Thailand - Annotations,Timor-Leste,Timor-Leste - Annotations,Vietnam,Vietnam - Annotations,Britische Überseegebiete in Asien,Britische Überseegebiete in Asien - Annotations,Australien,Australien - Annotations,Cookinseln,Cookinseln - Annotations,Fidschi,Fidschi - Annotations,Kiribati,Kiribati - Annotations,Marshallinseln,Marshallinseln - Annotations,Mikronesien,Mikronesien - Annotations,Nauru,Nauru - Annotations,Neuseeland,Neuseeland - Annotations,Niue,Niue - Annotations,Palau,Palau - Annotations,Papua-Neuguinea,Papua-Neuguinea - Annotations,Salomonen,Salomonen - Annotations,Samoa,Samoa - Annotations,Tonga,Tonga - Annotations,Tuvalu,Tuvalu - Annotations,Vanuatu,Vanuatu - Annotations,"Argentinische Überseegebiete in Australien, Ozeanien, Antarktis","Argentinische Überseegebiete in Australien, Ozeanien, Antarktis - Annotations","Australische Überseegebiete in Australien, Ozeanien, Antarktis","Australische Überseegebiete in Australien, Ozeanien, Antarktis - Annotations","Britische Überseegebiete in Australien, Ozeanien, Antarktis","Britische Überseegebiete in Australien, Ozeanien, Antarktis - Annotations","Chilenische Überseegebiete in Australien, Ozeanien, Antarktis","Chilenische Überseegebiete in Australien, Ozeanien, Antarktis - Annotations","Französische Überseegebiete in Australien, Ozeanien, Antarktis","Französische Überseegebiete in Australien, Ozeanien, Antarktis - Annotations","Neuseeländische Überseegebiete in Australien, Ozeanien, Antarktis","Neuseeländische Überseegebiete in Australien, Ozeanien, Antarktis - Annotations","Norwegische Überseegebiete in Australien, Ozeanien, Antarktis","Norwegische Überseegebiete in Australien, Ozeanien, Antarktis - Annotations","US-Überseegebiete in Australien, Ozeanien, Antarktis","US-Überseegebiete in Australien, Ozeanien, Antarktis - Annotations",Übriges Australien/Ozeanien/Antarktis,Übriges Australien/Ozeanien/Antarktis - Annotations,Nicht eindeutig zuordenbar,Nicht eindeutig zuordenbar - Annotations,Unbekanntes Ausland,Unbekanntes Ausland - Annotations,Staatenlos,Staatenlos - Annotations,Staatsangehörigkeit ungeklärt,Staatsangehörigkeit ungeklärt - Annotations,Ohne Angabe zur Staatsangehörigkeit,Ohne Angabe zur Staatsangehörigkeit - Annotations
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,3000648,,3272691,,3464048,,2002,,28593,,3279,,895,,2280,,19240,,14195,,3015,,29405,,13282,,3788,,3284,,762,,99,,6705,,11600,,56856,,5260,,21235,,4163,,1478,,1556,,14525,,2477,,5944,,15602,,369,,154,,1766,,3,,11583,,650,,4465,,40,,5973,,2391,,3,,451,,1866,,23568,,6,,5884,,19378,,98121,,11898,,-,,2011,,18,,-,,-,,-,,1260,,22,,-,,-,,-,,4277,,1010,,3149,,1647,,2469,,-,,313,,130,,29,,211,,565,,2455,,876,,108,,68,,158,,34,,55,,2849,,389,,291,,275,,47,,34,,2346,,268,,176,,-,,220,,9,,82,,18,,188,,453,,20,,29,,1275,,1190,,3,,99,,90,,34,,15,,627,,160,,175,,677,,14,,13,,19,,401,,58,,67,,116,,665,,4,,-,,-,,-,,3515,,19990,,6,,6,,24,,8,,201,,28,,466,,106,,6,,119,,36,,90,,144,,1088,,2200,,93,,65,,6,,13,,3,,57,,1242,,266,,5524,,1580,,533,,7,,2071,,86,,1293,,4,,131,,790,,-,,-,,-,,-,,-,,-,,1325,,1580,,114,,1519,,8922,,7600,,5051,,632,,1304,,34,,179,,8138,,25,,145,,727,,32704,,57,,196,,3,,11806,,9812,,229,,4026,,1658,,422,,173,,4879,,6,,1232,,145,,1182,,907,,506,,1559,,-,,3,,6857,,2067,,148,,88,,364,,9,,39,,713,,3827,,1166,,276,,1114,,4955,,-,,17123,,-,,3958,,-,,4,,-,,-,,-,,-,,962,,-,,6,,-,,-,,4,,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,1384,,21168,,94,
01011101 Stülerstraße,1922,,2370,,2631,,3,,15,,6,,-,,6,,33,,51,,15,,53,,17,,-,,9,,-,,-,,12,,19,,56,,12,,16,,3,,-,,-,,81,,3,,12,,23,,3,,-,,3,,-,,16,,-,,3,,-,,12,,3,,-,,3,,3,,79,,-,,8,,27,,52,,34,,-,,12,,-,,-,,-,,-,,6,,-,,-,,-,,-,,24,,4,,9,,3,,6,,-,,-,,-,,-,,-,,-,,6,,-,,-,,-,,-,,3,,-,,-,,-,,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,3,,-,,-,,-,,-,,6,,-,,-,,-,,-,,-,,-,,-,,-,,3,,-,,-,,-,,-,,-,,-,,-,,4,,-,,-,,-,,-,,18,,32,,-,,-,,-,,-,,4,,-,,-,,-,,-,,-,,-,,-,,-,,6,,22,,-,,-,,-,,-,,-,,-,,3,,-,,36,,3,,3,,-,,3,,-,,3,,-,,-,,6,,-,,-,,-,,-,,-,,-,,-,,-,,6,,3,,9,,25,,21,,22,,4,,-,,3,,-,,3,,-,,22,,29,,-,,-,,3,,3,,69,,-,,9,,6,,3,,-,,24,,-,,7,,-,,13,,-,,-,,-,,-,,-,,47,,-,,-,,-,,3,,-,,-,,4,,6,,7,,3,,3,,-,,-,,6,,-,,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,3,,6,,-,
01011102 Großer Tiergarten,123,,155,,161,,3,,-,,-,,-,,-,,3,,-,,-,,3,,-,,3,,-,,-,,-,,-,,-,,3,,-,,3,,-,,-,,-,,7,,-,,3,,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,3,,-,,-,,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,3,,-,,-,,-,,-,,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
01011103 Lützowstraße,3306,,4079,,4574,,12,,74,,7,,4,,7,,106,,34,,-,,76,,28,,22,,10,,-,,3,,21,,15,,104,,13,,124,,12,,6,,3,,31,,15,,19,,27,,-,,-,,18,,-,,16,,-,,21,,-,,-,,-,,-,,-,,4,,112,,-,,16,,60,,184,,64,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,25,,-,,40,,3,,3,,-,,6,,-,,-,,-,,-,,3,,6,,-,,3,,-,,-,,-,,4,,-,,-,,-,,-,,-,,7,,-,,3,,-,,-,,-,,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,3,,-,,3,,-,,-,,-,,-,,-,,-,,-,,3,,3,,-,,-,,-,,-,,6,,31,,-,,-,,-,,-,,-,,-,,3,,-,,-,,-,,-,,-,,-,,-,,9,,-,,-,,-,,-,,-,,-,,3,,3,,-,,3,,-,,-,,9,,-,,3,,-,,-,,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,10,,12,,30,,21,,6,,3,,-,,-,,3,,-,,-,,6,,75,,-,,-,,-,,18,,36,,-,,7,,3,,6,,-,,19,,-,,3,,-,,6,,12,,3,,-,,-,,-,,12,,10,,-,,-,,-,,-,,-,,-,,17,,-,,-,,7,,13,,-,,15,,-,,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,6,,40,,-,
