lor_plr,lor_plr_name,fahrraddiebstaehle_2015,fahrraddiebstaehle_2016,fahrraddiebstaehle_2017
06010101,Fichtenberg,45,62,51
06010102,Schloßstraße,107,86,112
06010103,Markelstraße,129,129,122
06010204,Munsterdamm,29,21,35
06010205,Südende,17,38,27
06010206,Stadtpark,20,29,28
06010207,Mittelstraße,43,41,56
06010208,Bergstraße,26,23,29
06010209,Feuerbachstraße,54,47,74
06010210,Bismarckstraße,17,35,19
06020301,Alt-Lankwitz,13,5,14
06020302,Komponistenviertel Lankwitz,25,13,13
06020303,Lankwitz Kirche,11,23,24
06020304,Kaiser-Wilhelm-Straße,32,29,27
06020305,Gemeindepark Lankwitz,16,21,19
06020306,Lankwitz Süd,8,7,11
06020407,Thermometersiedlung,6,4,1
06020408,Lichterfelde Süd,62,35,33
06020409,Königsberger Straße,31,61,39
06020410,Oberhofer Platz,117,115,92
06020411,Schütte-Lanz-Straße,17,12,18
06030501,Berlepschstraße,11,18,20
06030502,Zehlendorf Süd,37,20,12
06030503,Zehlendorf Mitte,353,380,298
06030504,Teltower Damm,37,37,37
06030605,Botanischer Garten,36,43,50
06030606,Hindenburgdamm,28,28,27
06030607,Goerzwerke,9,8,23
06030608,Schweizer Viertel,31,43,30
06030609,Augustaplatz,74,74,51
06030610,Lichterfelde West,63,88,55
06040701,Wannsee,32,44,30
06040702,Düppel,33,16,20
06040703,Nikolassee,117,90,114
06040804,Krumme Lanke,72,56,53
06040805,Fischerhüttenstraße,119,111,93
06040806,Fischtal,43,57,76
06040807,Zehlendorf Eiche,35,29,28
06040808,Hüttenweg,53,79,50
06040809,Thielallee,55,45,35
06040810,Dahlem,52,63,56
07010101,Wittenbergplatz/Viktoria-Luise-Platz,132,120,105
07010102,Nollendorfplatz,160,170,229
07010103,Barbarossaplatz,161,143,151
07010104,Dennewitzplatz,143,176,183
07020201,Bayerischer Platz,148,146,142
07020202,Volkspark (Rudolf-Wilde-Park),109,97,91
07020203,Kaiser-Wilhelm-Platz,222,205,210
07020204,Schöneberger Insel,212,266,136
07030301,Friedenau,345,298,337
07030302,Ceciliengärten,75,73,63
07030303,Grazer Platz,93,88,68
07040401,Neu-Tempelhof,148,198,181
07040402,Lindenhofsiedlung,26,29,31
07040403,Manteuffelstraße,99,107,94
07040404,Marienhöhe,11,20,13
07040405,Rathaus Tempelhof,61,50,67
07040406,Germaniagarten,10,9,7
07050501,Rathausstraße,42,37,53
07050502,Fritz-Werner-Straße,54,42,42
07050503,Eisenacher Straße,18,38,29
07050504,Imbrosweg,17,7,4
07050505,Hundsteinweg,26,22,21
07050506,Birnhornweg,0,1,5
07060601,Marienfelder Allee Nordwest,10,26,19
07060602,Kirchstraße,11,19,15
07060603,Marienfelde Nordost,55,73,50
07060604,Marienfelde Süd,30,33,15
07070701,Kettinger Straße/Schillerstraße,16,18,15
07070702,Alt-Lichtenrade/Töpchiner Weg,13,30,18
07070703,John-Locke-Straße,30,40,28
07070704,Nahariyastraße,15,13,9
07070705,Franziusweg/Rohrbachstraße,39,43,26
07070706,Horstwalder Straße/Paplitzer Straße,11,14,2
07070707,Wittelsbacherstraße,3,2,2
08010115,Hasenheide,18,22,12
08010116,Wissmannstraße,37,44,69
08010117,Schillerpromenade,86,108,136
08010118,Silbersteinstraße,86,60,84
08010211,Flughafenstraße,116,145,137
08010212,Rollberg,44,36,46
08010213,Körnerpark,82,81,86
08010214,Glasower Straße,78,63,52
08010301,Reuterkiez,337,302,288
08010302,Bouchéstraße,33,15,16
08010303,Donaustraße,129,114,103
08010404,Rixdorf,312,248,227
08010405,Hertzbergplatz,50,64,70
08010406,Treptower Straße Nord,35,27,33
08010407,Gewerbegebiet Ederstraße,10,14,14
08010508,Weiße Siedlung,22,12,12
08010509,Schulenburgpark,19,13,19
08010510,Gewerbegebiet Köllnische Heide,8,5,5
08020619,Buschkrugallee Nord,45,22,46
08020620,Tempelhofer Weg,19,14,12
08020621,Mohriner Allee Nord,5,7,6
08020622,Parchimer Allee,106,64,67
08020623,Ortolanweg,3,10,4
08020624,Britzer Garten,9,6,7
08020625,Handwerker-Siedlung,6,8,8
08020726,Buckow West,15,9,7
08020727,Buckow Mitte,22,11,11
08020728,Buckow Ost,8,14,11
08030829,Gropiusstadt Nord,50,40,62
08030830,Gropiusstadt Süd,29,16,31
08030831,Gropiusstadt Ost,51,38,64
08040932,Goldhähnchenweg,7,7,11
08040933,Vogelviertel Süd,20,22,16
08040934,Vogelviertel Nord,13,4,10
08041035,Blumenviertel,7,10,8
08041036,Zittauer Straße,14,8,12
08041037,Alt-Rudow,20,20,24
08041038,Waßmannsdorfer Chaussee,56,56,46
