"","X.1","X","street1","accidents","lon","lat"
"601",3088,3088,"SCHERINGSTR. / GARTENSTR. / LIESENSTR.",7,13.3815946,52.5414598
"602",3089,3089,"SCHICHAUWEG",1,13.3895134,52.3985614
"603",3090,3090,"SCHIFFBAUERDAMM",2,13.3830224,52.5201375
"604",3091,3091,"SCHILDHORNSTR.",1,13.3170938,52.4641194
"605",3092,3092,"SCHILDOWER STR.",2,13.3191575,52.6223334
"606",3093,3093,"SCHILLERPROMENADE / WILHELMINENHOFSTR.",1,13.5169329,52.4617789
"607",3094,3094,"SCHILLERSTR.",3,13.3104503,52.5103495
"608",3095,3095,"SCHILLERSTR. / WILMERSDORFER STR.",1,13.3056866,52.5099626
"609",3096,3096,"SCHILLSTR. / WICHMANNSTR. / LÜTZOWPLATZ",2,13.3509462,52.5043521
"610",3097,3097,"SCHINKELPLATZ / AM ZEUGHAUS / UNTER DEN LINDEN / SCHLOßBRÜCKE",1,13.3985147,52.5176509
"611",3098,3098,"SCHIVELBEINER STR.",5,13.4088208,52.5511003
"612",3099,3099,"SCHLEGELSTR.",1,13.3866352,52.5301257
"613",3100,3100,"SCHLESISCHE STR.",6,13.4457222,52.4990987
"614",3101,3101,"SCHLESISCHE STR. / TABORSTR.",1,13.4472723,52.4982244
"615",3102,3102,"SCHLICHTALLEE / ZOBTENER STR.",1,13.4828034,52.5002028
"616",3103,3103,"SCHLOßALLEE",1,13.4290959,52.5859281
"617",3104,3104,"SCHLOßPLATZ",2,13.3999921,52.5174554
"618",3105,3105,"SCHLOßPLATZ / BREITE STR.",1,13.4026313,52.5163522
"619",3106,3106,"SCHLOßPLATZ / SCHLOßBRÜCKE / LUSTGARTEN",1,13.3985147,52.5176509
"620",3107,3107,"SCHLOßSTR.",7,13.3126777,52.4525833
"621",3108,3108,"SCHLÜTERSTR.",6,13.317644,52.506074
"622",3109,3109,"SCHMIDT-KNOBELSDORF-STR. / SEEBURGER STR. / SEEBURGER WEG / ULRIKENSTR. / LUTONE",1,NA,NA
"623",3110,3110,"SCHMILJANSTR.",1,13.3306902,52.4701589
"624",3111,3111,"SCHMÖCKWITZER DAMM",1,13.6509441,52.3583284
"625",3112,3112,"SCHMÖCKWITZER DAMM / WERNSDORFER STR.",1,13.6590377,52.3736143
"626",3113,3113,"SCHNEEBALLENWEG",1,13.48268,52.4339005
"627",3114,3114,"SCHNELLERSTR.",15,13.5127635,52.4556556
"628",3115,3115,"SCHONACHER STR. / ZABEL-KRÜGER-DAMM / SCHLUCHSEESTR.",1,13.3278828,52.6090209
"629",3116,3116,"SCHÖNEBERGER STR.",3,13.3781979,52.5025429
"630",3117,3117,"SCHÖNEBERGER UFER",2,13.3706544,52.5051976
"631",3118,3118,"SCHÖNEBERGER UFER / GEORGE-C.-MARSHALL-BRÜCKE",1,13.3716449,52.5047602
"632",3119,3119,"SCHÖNEFELDER CHAUSSEE",1,13.527144,52.4100999
"633",3120,3120,"SCHÖNEFELDER CHAUSSEE / SIRIUSSTR.",1,13.5221003,52.402447
"634",3121,3121,"SCHÖNEFELDER STR.",1,13.4996343,52.407297
"635",3122,3122,"SCHONENSCHE STR.",1,13.4194753,52.5541254
"636",3123,3123,"SCHÖNERLINDER STR. / A 114 BAB AUTOBAHNZUBRINGER PRENZLAU / 114 AS SCHÖNERLINDER",1,13.4373405,52.6314112
"637",3124,3124,"SCHÖNERLINDER WE",1,13.4744177,52.6229919
"638",3125,3125,"SCHÖNERLINDER WEG",2,13.4744177,52.6229919
"639",3126,3126,"SCHÖNEWALDER STR.",1,13.6190981,52.5325189
"640",3127,3127,"SCHÖNHAUSER ALLEE",27,13.4123762,52.5418811
"641",3128,3128,"SCHÖNHAUSER ALLEE / WICHERTSTR. / SCHIVELBEINER STR. (ENDE)",1,13.4126411,52.5505776
"642",3129,3129,"SCHÖNHAUSER STR.",3,13.4123762,52.5418811
"643",3130,3130,"SCHÖNHOLZER STR.",4,13.3980665,52.5380285
"644",3131,3131,"SCHÖNHORSTER STR.",2,13.6932304,52.4230366
"645",3132,3132,"SCHÖNOWER STR.",1,13.2582058,52.4290763
"646",3133,3133,"SCHÖNSTEDTSTR.",1,13.436441,52.482481
"647",3134,3134,"SCHÖNWALDER ALLEE",1,13.1810835,52.5770013
"648",3135,3135,"SCHÖNWALDER STR.",1,13.1989059,52.554081
"649",3136,3136,"SCHORFHEIDESTR.",2,13.5755551,52.570648
"650",3137,3137,"SCHORLEMERALLEE",1,13.3019076,52.4655059
"651",3138,3138,"SCHREINERSTR.",2,13.4666572,52.5171065
"652",3139,3139,"SCHULENBURGRING",1,13.3829043,52.4821489
"653",3140,3140,"SCHULSTR.",3,13.3665021,52.5510653
"654",3141,3141,"SCHULZE-BOYSEN-STR.",1,13.4809939,52.5097302
"655",3142,3142,"SCHULZENDORFER STR. / BRANDTSTR. / HEINSESTR.",1,13.3110627,52.6130731
"656",3143,3143,"SCHULZESTR.",2,13.3920238,52.5665157
"657",3144,3144,"SCHUMANNSTR.",2,13.380764,52.5237308
"658",3145,3145,"SCHUMANNSTR. / LUISENSTR.",2,13.3794808,52.5235082
"659",3146,3146,"SCHUSTEHRUSSTR.",2,13.3008565,52.5171275
"660",3147,3147,"SCHÜTZALLEE",1,13.2684356,52.4423294
"661",3148,3148,"SCHÜTZENSTR.",1,13.3940267,52.5088189
"662",3149,3149,"SCHÜTZENSTR. / STRAßE VOR SCHÖNHOLZ / HERMANN-HESSE-STR.",2,13.3836813,52.5727789
"663",3150,3150,"SCHWALBACHER STR.",1,13.3222315,52.4701913
"664",3151,3151,"SCHWARZWURZELSTR.",1,13.5572389,52.569121
"665",3152,3152,"SCHWEDENSTR.",2,13.3745416,52.5561978
"666",3153,3153,"SCHWEDTER STR.",1,13.4046333,52.5405571
"667",3154,3154,"SCHWENDYWEG",1,13.2050482,52.5603271
"668",3155,3155,"SEDANSTR.",1,13.3327468,52.4484159
"669",3156,3156,"SEDDINER STR.",1,13.5213671,52.5133401
"670",3157,3157,"SEEGEFELDER STR.",3,13.1839005,52.5382091
"671",3158,3158,"SEEGEFELDER WEG",1,13.1470543,52.5454806
"672",3159,3159,"SEEGEFELDER WEG / ALFONS-LOEWE-STR.",1,13.1335946,52.5489841
"673",3160,3160,"SEEGEFELDER WEG / HAMBURGER STR.",1,13.1316759,52.5494842
"674",3161,3161,"SEEGEFELDER WEG / KLOSTERBUSCHWEG / AM KIESTEICH",1,13.157844,52.543083
"675",3162,3162,"SEELENBINDERSTR.",1,13.5855262,52.4554341
"676",3163,3163,"SEELINGSTR. / SOPHIE-CHARLOTTEN-STR.",1,13.2877723,52.515171
"677",3164,3164,"SEESENER STR.",2,13.2967717,52.4923897
"678",3165,3165,"SEESTR.",7,13.3466344,52.5478559
"679",3166,3166,"SEESTR. / SYLTER STR.",2,13.3366044,52.5421688
"680",3167,3167,"SEESTR. / TURINER STR.",1,13.3549091,52.551784
"681",3168,3168,"SELBITZER STR.",1,13.1230248,52.4563955
"682",3169,3169,"SELCHOWSTR. / WASSERMANNSTR.",1,13.5514309,52.4400187
"683",3170,3170,"SEMBRITZKISTR.",1,13.3527063,52.4535331
"684",3171,3171,"SEMMELWEISSTR.",1,13.5312846,52.4236408
"685",3172,3172,"SEMMELWEISSTR. / WEGEDORNSTR.",1,13.5264426,52.4245884
"686",3173,3173,"SENEFELDERSTR. / STUBBENKAMMERSTR.",1,13.4230944,52.5422103
"687",3174,3174,"SENFTENBERGER RING",1,13.3577626,52.6011493
"688",3175,3175,"SENFTENBERGER RING / WILHELMSRUHER DAMM",1,13.3561532,52.5966871
"689",3176,3176,"SEWANSTR.",5,13.5097088,52.496585
"690",3177,3177,"SEWANSTR. / ONTARIOSEESTR.",1,13.5232664,52.4955838
"691",3178,3178,"SEWANSTR. / SEWANSTR.",1,13.5097088,52.496585
"692",3179,3179,"SEYDLITZSTR.",3,13.3605136,52.5268408
"693",3180,3180,"SEYDLITZSTR. / CLAIRE-WALDOFF-PROMENADE",1,13.3587025,52.5262708
"694",3181,3181,"SIBYLLENSTR.",1,13.3429306,52.4360192
"695",3182,3182,"SICKINGENSTR.",2,13.3212732,52.5316301
"696",3183,3183,"SIEGFRIEDSTR.",7,13.4995808,52.5231314
"697",3184,3184,"SIEGFRIEDSTR. / LIEBENWALDER STR. / LANDSBERGER ALLEE",1,13.4996492,52.5348292
"698",3185,3185,"SIEGLINDESTR.",1,13.3295067,52.4766621
"699",3186,3186,"SIEMENSSTR.",8,13.3337801,52.5329437
"700",3187,3187,"SILBERSTEINSTR.",3,13.4319623,52.4664417
"701",3188,3188,"SILBERWEIDENWEG / BORNITZSTR.",1,13.4922203,52.5205565
"702",3189,3189,"SILVIO-MEIER-STR. / FRANKFURTER ALLEE",2,13.462841,52.5148419
