"","street1","accidents"
"460","BERGMANNSTR. / MITTENWALDER STR.",1
"461","BERGMANNSTR. / NOSTITZSTR.",1
"462","BERGMANNSTR. / SCHLEIERMACHERSTR.",1
"463","BERGMANNSTR. / ZOSSENER STR.",2
"464","BERGSTR.",4
"465","BERGSTR. / BISMARCKSTR.",2
"466","BERGSTR. / HEESESTR.",1
"467","BERGSTR. / KÖRNERSTR.",1
"468","BERGSTR. / LAUENBURGER STR.",1
"469","BERGSTR. / LESSINGSTR. / SCHÖNHAUSER STR.",1
"470","BERGSTR. / MENCKENSTR.",1
"471","BERGSTR. / STRAßE ZUM LÖWEN",1
"472","BERGSTR. / TORSTR.",2
"473","BERKAER STR. / EGERSTR. / HOHENZOLLERNDAMM",1
"474","BERLEPSCHSTR. / CLAUERTSTR. / LUDWIGSFELDER STR.",1
"475","BERLEPSCHSTR. / MACHNOWER STR.",1
"476","BERLICHINGENSTR. / HUTTENSTR. / REUCHLINSTR.",1
"477","BERLINER ALLEE",9
"478","BERLINER STR.",17
"479","BERLINER STR. / BERTRAMSTR. / WACHSMUTHSTR.",1
"480","BERLINER STR. / BIELEFELDER STR. / HOHENZOLLERNDAMM",2
"481","BERLINER STR. / BLISSESTR. / BRANDENBURGISCHE STR.",1
"482","BERLINER STR. / BREITE STR.",3
"483","BERLINER STR. / BRENNERSTR. / MÜHLENSTR. / VINETASTR.",2
"484","BERLINER STR. / BUNDESALLEE",4
"485","BERLINER STR. / BURGFRAUENSTR. / VELTHEIMSTR.",1
"486","BERLINER STR. / DAHLEMER WEG / THIELALLEE / UNTER DEN EICHEN",1
"487","BERLINER STR. / ELSA-BRÄNDSTRÖM-STR.",1
"488","BERLINER STR. / ESCHENGRABEN",3
"489","BERLINER STR. / FLORASTR.",6
"490","BERLINER STR. / GARTENSTR.",1
"491","BERLINER STR. / GRANITZSTR. / KISSINGENSTR.",6
"492","BERLINER STR. / HADLICHSTR.",4
"493","BERLINER STR. / LANDHAUSSTR.",1
"494","BERLINER STR. / MASURENSTR.",1
"495","BERLINER STR. / MAXIMILIANSTR.",1
"496","BERLINER STR. / MÜHLENSTR. / TIROLER STR.",1
"497","BERLINER STR. / NASSAUISCHE STR.",1
"498","BERLINER STR. / ROBINIENWEG",1
"499","BERLINER STR. / SCHONENSCHE STR. / SCHÖNHAUSER ALLEE",1
"500","BERLINER STR. / SEEHOFSTR.",1
"501","BERLINER STR. / SUNDGAUER STR.",1
"502","BERLINER STR. / THULESTR.",1
"503","BERLINER STR. / UHLANDSTR.",1
"504","BERLINER STR. / WINFRIEDSTR.",2
"505","BERNADOTTESTR. / CLAYALLEE / HOHENZOLLERNDAMM",1
"506","BERNAUER STR.",2
"507","BERNAUER STR. / RUPPINER STR.",2
"508","BERNAUER STR. / SWINEMÜNDER STR.",1
"509","BERNAUER STR. / WOLLINER STR.",3
"510","BERNBURGER STR.",1
"511","BERNER STR. / FINCKENSTEINALLEE / KOMMANDANTENSTR.",1
"512","BERNHARD-BÄSTLEIN-STR.",2
"513","BERNHARD-BÄSTLEIN-STR. / WEIßENSEER WEG",3
"514","BERNHARD-BEYER-STR.",1
"515","BERNHARD-LANGWALDT-WEG / PUSCHKINALLEE / TREPTOWER PARK",2
"516","BERNHARD-LICHTENBERG-STR. / HECKERDAMM",1
"517","BERNHARDSTR. / WEXSTR.",1
"518","BERNHARD-WEIß-STR. / ALEXANDERSTR.",2
"519","BERNHARD-WEIß-STR. / THEANOLTE-BÄHNISCH-STR.",1
"520","BERNHARD-WEIß-STR. / WADZECKSTR.",1
"521","BERNKASTELER STR.",1
"522","BERNKASTELER STR. / GROßE SEESTR. / RENNBAHNSTR. / BERLINER ALLEE",1
"523","BERNSTEINRING",1
"524","BEROLINASTR. / KARL-MARX-ALLEE",3
"525","BERSARINPLATZ / RIGAER STR.",2
"526","BERSARINPLATZ / WEIDENWEG",2
"527","BERTASTR. / SCHILDOWER STR.",1
"528","BERTHELSDORFER STR. / DONAUSTR.",1
"529","BERTHELSDORFER STR. / RICHARDSTR.",1
"530","BESSELSTR. / FRIEDRICHSTR.",2
"531","BESSELSTR. / MARKGRAFENSTR.",1
"532","BESSEMERSTR. / EYTHSTR.",1
"533","BETHANIENDAMM",2
"534","BEUCKESTR.",1
"535","BEUCKESTR. / MARTIN-BUBER-STR. / NENTERSHÄUSER PLATZ",1
"536","BEUSSELSTR.",3
"537","BEUSSELSTR. / HUTTENSTR. / TURMSTR.",2
"538","BEUSSELSTR. / SICKINGENSTR. / SIEMENSSTR.",2
"539","BEUSSELSTR. / WICLEFSTR. / WITTSTOCKER STR.",1
"540","BEUSSELSTR. / ZUFAHRTSTR. ZUM GROßMARKT",1
"541","BEUSSELSTR. / ZUFAHRTSTR. ZUM GROßMARKT / ZUFAHRTSTR. ZUM WESTHAFEN / BEUSSELBR",1
"542","BEUTHSTR. / WALDOWSTR.",1
"543","BEVERNSTR. / OBERBAUMSTR. / OPPELNER STR. / SCHLESISCHE STR. / SKALITZER STR. /",7
"544","BIESENBROWER STR. / VINCENT-VAN-GOGH-STR.",1
"545","BIESENTALER STR. / PRINZENALLEE",1
"546","BILDHAUERWEG",1
"547","BINGER STR.",1
"548","BINZSTR. / PRENZLAUER PROMENADE",1
"549","BIRKBUSCHSTR. / DALANDWEG / PAUL-SCHWARZ-PROMENADE / SEDANSTR. / PRINZREGENT-LU",1
"550","BIRKBUSCHSTR. / ERLENSTR.",1
"551","BIRKBUSCHSTR. / KLINGSORSTR.",1
"552","BIRKENSTR.",2
"553","BIRKENSTR. / PUTLITZSTR. / STEPHANSTR. / STROMSTR.",1
"554","BIRNHORNWEG / HIRZERWEG",1
"555","BIRNHORNWEG / MARIENDORFER DAMM",1
"556","BISMARCKSTR.",10
"557","BISMARCKSTR. / ERNST-REUTER-PLATZ",3
"558","BISMARCKSTR. / FEUERBACHSTR. / KNAUSSTR. / KNAUSPLATZ",2
"559","BISMARCKSTR. / GIMPELSTEIG / MACHNOWER STR.",2
"560","BISMARCKSTR. / HORST-KOHL-STR.",1
"561","BISMARCKSTR. / KAISERDAMM / SCHLOßSTR. / SUAREZSTR.",6
"562","BISMARCKSTR. / KAISER-FRIEDRICH-STR.",2
"563","BISMARCKSTR. / KRUMME STR.",2
"564","BISMARCKSTR. / LEIBNIZSTR.",6
"565","BISMARCKSTR. / NEUENDORFER STR.",2
"566","BISMARCKSTR. / POSCHINGERSTR.",2
"567","BISMARCKSTR. / RICHARD-WAGNER-STR. / SESENHEIMER STR.",4
"568","BISSINGZEILE / POTSDAMER STR.",4
"569","BIZETSTR.",2
"570","BIZETSTR. / INDIRA-GANDHI-STR.",1
"571","BLANKENBURGER CHAUSSEE",4
"572","BLANKENBURGER CHAUSSEE / STRAßE 39 / STRAßE 45",1
"573","BLANKENBURGER CHAUSSEE / STRAßE 42",1
"574","BLANKENBURGER PFLASTERWEG / HEINERSDORFER STR.",1
"575","BLANKENBURGER STR.",5
"576","BLANKENBURGER STR. / BUCHHOLZER STR.",3
"577","BLANKENBURGER STR. / DIETZGENSTR. / OSSIETZKYPLATZ",2
"578","BLANKENBURGER STR. / ELISABETH-CHRISTINEN-STR.",2
"579","BLANKENBURGER STR. / HANS-JÜRGEN-STR.",1
"580","BLANKENBURGER STR. / KLOTHILDESTR.",1
"581","BLANKENBURGER STR. / LINDENBERGER STR.",1
"582","BLANKENBURGER STR. / MALCHOWER STR.",1
"583","BLANKENBURGER STR. / STRAßE 199",1
"584","BLANKENBURGER STR. / STRAßE 31",1
"585","BLANKENBURGER WEG / PASEWALKER STR.",1
"586","BLANKENFELDER CHAUSSEE",2
"587","BLANKENFELDER CHAUSSEE / HAUPTSTR.",1
"588","BLANKENFELDER STR. / ROSENTHALER WEG",1
"589","BLASCHKOALLEE / BRITZER DAMM / GRADESTR.",1
"590","BLASCHKOALLEE / BUSCHKRUGALLEE / SPÄTHSTR.",2
"591","BLASCHKOALLEE / FRITZ-REUTER-ALLEE (ENDE)",1
"592","BLASCHKOALLEE / ONKEL-BRÄSIG-STR. / RIESESTR.",1
"593","BLEIBTREUSTR.",1
"594","BLEIBTREUSTR. / KANTSTR.",2
"595","BLEIBTREUSTR. / KURFÜRSTENDAMM",1
"596","BLEIBTREUSTR. / MOMMSENSTR.",1
"597","BLEICHERODER STR. / MENDELSTR. / STIFTSWEG",1
"598","BLISSESTR. / MECKLENBURGISCHE STR. / UHLANDSTR.",2
"599","BLÜCHERSTR.",1
"600","BLÜCHERSTR. / BRACHVOGELSTR. / MITTENWALDER STR.",1
"601","BLÜCHERSTR. / MEHRINGDAMM / OBENTRAUTSTR.",9
"602","BLÜCHERSTR. / URBANSTR.",3
"603","BLÜCHERSTR. / ZOSSENER STR.",4
"604","BLUMENWEG / GERSDORFSTR. / KÖNIGSTR.",1
"605","BÖCKHSTR. / BÜRKNERSTR. / KOTTBUSSER DAMM / SCHÖNLEINSTR.",9
"606","BÖCKHSTR. / GRAEFESTR.",1
"607","BÖCKMANNBRÜCKE",1
"608","BODDINSTR.",1
"609","BODDINSTR. / ISARSTR.",1
"610","BODDINSTR. / KARL-MARX-STR.",2
"611","BOELCKESTR.",1
"612","BOELCKESTR. / DUDENSTR. / KATZBACHSTR.",2
"613","BOELCKESTR. / HESSENRING",1
"614","BOENKESTR.",1
"615","BOGENSTR. / GOETHESTR. / MORGENSTERNSTR. / OSTPREUßENDAMM",1
"616","BÖHMISCHE STR.",1
"617","BÖHMISCHE STR. / HERTZBERGSTR.",1
"618","BÖHMISCHE STR. / SCHUDOMASTR.",1
"619","BÖHMISCHE STR. / THIEMANNSTR.",1
"620","BÖLSCHESTR.",5
"621","BÖLSCHESTR. / DAHLWITZER LANDSTR. / FÜRSTENWALDER DAMM",2
"622","BÖLSCHESTR. / MYLIUSGARTEN",1
"623","BONHOEFFERUFER",1
"624","BONHOEFFERUFER / MIERENDORFFSTR. / SCHLOßBRÜCKE / SCHLOßBRÜCKENSTEG",1
"625","BOPPSTR. / KOTTBUSSER DAMM",4
"626","BOPPSTR. / SCHÖNLEINSTR.",1
"627","BORGMANNSTR. / MANDRELLAPLATZ / PUCHANSTR. / SEELENBINDERSTR.",1
"628","BORKHEIDER STR.",1
"629","BORKUMSTR.",1
"630","BORKUMSTR. / NEUMANNSTR.",1
"631","BORKZEILE",1
"632","BORNEMANNSTR. / UFERSTR.",1
"633","BORNER STR. / DARßER STR.",1
"634","BÖRNESTR.",1
"635","BORNHOLMER STR.",3
"636","BORNHOLMER STR. / BJÖRNSONSTR. / MALMÖER STR.",1
"637","BORNHOLMER STR. / SCHÖNFLIEßER STR. / STAVANGERSTR.",1
"638","BORNHOLMER STR. / SCHÖNHAUSER ALLEE / WISBYER STR.",7
"639","BORNIMER STR. / KURFÜRSTENDAMM / STORKWINKEL",1
"640","BORNITZSTR.",3
"641","BORNITZSTR. / RUSCHESTR.",1
"642","BORNITZSTR. / SIEGFRIEDSTR.",1
"643","BORNSTEDTER STR.",1
"644","BORNSTR. / HACKERSTR.",1
"645","BORNSTR. / SCHLOßSTR.",1
"646","BORSIGSTR.",1
"647","BORUSSENSTR. / SPANISCHE ALLEE / A 115 BAB AUTOBAHNZUBRINGER MAGDEBG/LEIPZ (AVUS",1
"648","BORUSSIASTR.",2
"649","BOSCHPOLER STR. / ECKERMANNSTR.",1
"650","BOSCHWEG / NOBELSTR.",1
"651","BOSESTR. / WITTEKINDSTR.",1
"652","BOSSESTR. / STRALAUER ALLEE",1
"653","BÖTTGERSTR. / PANKSTR. / THURNEYSSERSTR.",2
"654","BÖTZOWSTR.",2
"655","BÖTZOWSTR. / BERNHARD-LICHTENBERG-STR.",1
"656","BÖTZOWSTR. / DIETRICH-BONHOEFFER-STR.",1
"657","BÖTZOWSTR. / JOHN-SCHEHR-STR.",1
"658","BOUCHÉSTR. / AM TREPTOWER PARK / PUSCHKINALLEE",2
"659","BOXHAGENER STR.",7
"660","BOXHAGENER STR. / GABRIEL-MAX-STR. / KREUTZIGERSTR.",1
"661","BOXHAGENER STR. / GRYPHIUSSTR.",2
"662","BOXHAGENER STR. / HIRSCHBERGER STR. / KYNASTSTR. / MARKTSTR.",7
"663","BOXHAGENER STR. / HOLTEISTR.",3
"664","BOXHAGENER STR. / LENBACHSTR. / WÜHLISCHSTR.",3
"665","BOXHAGENER STR. / NEUE BAHNHOFSTR.",5
"666","BOXHAGENER STR. / NIEDERBARNIMSTR. / SIMON-DACH-STR.",1
"667","BOXHAGENER STR. / WARSCHAUER STR.",2
"668","BOXHAGENER STR. / WISMARPLATZ",1
"669","BOYENALLEE / TEUFELSSEESTR.",2
"670","BOYENSTR.",1
"671","BRACHVOGELSTR. / JOHANNITERSTR. / CARL-HERZ-PARK",2
"672","BRAHESTR. / TEGELER WEG",1
"673","BRAHMSSTR. / KLINGSORSTR.",1
"674","BRAILLESTR. / HINDENBURGDAMM / SCHLOßSTR.",1
"675","BRANDENBURGISCHE STR.",4
"676","BRANDENBURGISCHE STR. / FEHRBELLINER PLATZ",1
"677","BRANDENBURGISCHE STR. / KURFÜRSTENDAMM / LEWISHAMSTR.",2
"678","BRANDENBURGISCHE STR. / MANNHEIMER STR. / SÄCHSISCHE STR.",1
"679","BRANDENBURGISCHE STR. / MÜNSTERSCHE STR.",1
"680","BRANDENBURGISCHE STR. / PAULSBORNER STR. / XANTENER STR.",4
"681","BRANDESSTR. / ALTE JAKOBSTR. / LINDENSTR.",3
"682","BRAUERSTR.",1
"683","BRAUHAUSSTR. / PRENZLAUER PROMENADE",1
"684","BRAUHOFSTR.",1
"685","BRAUNSCHWEIGER STR.",2
"686","BRAUNSCHWEIGER STR. / KARL-MARX-STR.",1
"687","BRAUNSCHWEIGER STR. / SCHUDOMASTR. / SCHWARZASTR. / ESPERANTOPLATZ",1
"688","BREDOWSTR. / TURMSTR.",1
"689","BREHMESTR.",1
"690","BREHMESTR. / RETTIGWEG",1
"691","BREISGAUER STR. / SPANISCHE ALLEE / TEWSSTR. / GUERNICAPLATZ",1
"692","BREITE STR.",6
"693","BREITE STR. / GERTRAUDENSTR. / MÜHLENDAMM / FISCHERINSEL",7
"694","BREITE STR. / HELGOLANDSTR. / MECKLENBURGISCHE STR. / ZOPPOTER STR.",1
"695","BREITE STR. / MAUERSTR.",1
"696","BREITKOPFSTR.",1
"697","BREITSCHEIDPLATZ",1
"698","BREMER STR. / QUITZOWSTR. / SIEMENSSTR.",1
"699","BREMER STR. / TURMSTR.",1
"700","BRENNERSTR.",1
"701","BRENTANOSTR. / BUGGESTR.",1
"702","BRENTANOSTR. / SCHILDHORNSTR.",1
"703","BRIEGER STR. / WEDELLSTR.",1
"704","BRIENNER STR. / HOHENZOLLERNDAMM / RUHRSTR.",1
"705","BRIGITTENWEG",1
"706","BRITZER DAMM",4
"707","BRITZER DAMM / FULHAMER ALLEE / TEMPELHOFER WEG",2
"708","BRITZER DAMM / GERMANIAPROMENADE",2
"709","BRITZER DAMM / JAHNSTR.",1
"710","BRITZER DAMM / WEDERSTR. / A 100 BAB / 100 AS BRITZER DAMM AUSFAHRT N BRITZER DA",1
"711","BRITZER DAMM / WUSSOWSTR.",1
"712","BRITZER STR.",1
"713","BRITZER STR. / GOLDENES HORN",1
"714","BRÜCKE ALLEE DER KOSMONAUTEN",1
"715","BRÜCKENSTR.",3
"716","BRÜCKENSTR. / RUNGESTR.",4
"717","BRÜMMERSTR.",1
"718","BRUNNENSTR.",17
"719","BRUNNENSTR. / ANKLAMER STR.",2
"720","BRUNNENSTR. / BERNAUER STR.",7
"721","BRUNNENSTR. / INVALIDENSTR. / VETERANENSTR.",6
"722","BRUNNENSTR. / RHEINSBERGER STR.",1
"723","BRUNNENSTR. / TORSTR. / ROSENTHALER PLATZ / ROSENTHALER STR. / WEINBERGSWEG",10
"724","BRUNO-BAUM-STR.",1
"725","BRUNO-BAUM-STR. / MARZAHNER PROMENADE / LANDSBERGER ALLEE",2
"726","BRUNO-BÜRGEL-WEG / OBERSPREESTR. / SCHNELLERSTR.",1
"727","BRUNSBÜTTELER DAMM",3
"728","BRUNSBÜTTELER DAMM / AM BAHNHOF SPANDAU",2
"729","BRUNSBÜTTELER DAMM / KLOSTERSTR. / RUHLEBENER STR.",3
"730","BRUNSBÜTTELER DAMM / MAGISTRATSWEG",2
"731","BRUNSBÜTTELER DAMM / NAUENER STR.",2
"732","BRUNSBÜTTELER DAMM / PÄWESINER WEG",1
"733","BRUNSBÜTTELER DAMM / WILHELMSHAVENER STR.",1
"734","BRUSENDORFER STR. / MARESCHSTR.",1
"735","BRÜSSELER STR. / GENTER STR.",2
"736","BUCHBERGER STR.",1
"737","BUCHBERGER STR. / COPPISTR.",1
"738","BUCHER STR.",2
"739","BUCHER STR. / HAUPTSTR. / SCHÖNERLINDER STR. / TRIFTSTR.",1
"740","BUCHHOLZER STR. / MILASTR. / SCHÖNHAUSER ALLEE",1
"741","BUCHSTR. / FÖHRER STR.",2
"742","BUCKOWER CHAUSSEE",2
"743","BUCKOWER CHAUSSEE / HALKER ZEILE / RICHARD-TAUBER-DAMM",1
"744","BUCKOWER CHAUSSEE / KETTINGER STR.",1
"745","BUCKOWER CHAUSSEE / LICHTENRADER DAMM / MARIENDORFER DAMM / MARIENFELDER CH",1
"746","BUCKOWER CHAUSSEE / MOTZENER STR. / ZEHRENSDORFER STR.",1
"747","BUCKOWER DAMM",6
"748","BUCKOWER DAMM / HÜFNERWEG / KGA ZUR WINDMÜHLE",1
"749","BUDAPESTER STR.",7
"750","BUDAPESTER STR. / KURFÜRSTENSTR. / NÜRNBERGER STR. / OLOF-PALME-PLATZ",2
"751","BUDAPESTER STR. / LÜTZOWUFER / CORNELIUSBRÜCKE / KATHARINA-HEINROTH-UFER",2
"752","BUDAPESTER STR. / WICHMANNSTR.",1
"753","BUGENHAGENSTR.",1
"754","BUGGESTR. / FORSTSTR.",2
"755","BÜHLER WEG / MARIENFELDER CHAUSSEE",2
"756","BUHROWSTR. / GRABERTSTR. / STEGLITZER DAMM",1
"757","BÜLOWSTR.",5
"758","BÜLOWSTR. / GOEBENSTR. / MANSTEINSTR. / YORCKSTR.",2
"759","BÜLOWSTR. / NOLLENDORFPLATZ / ELSE-LASKER-SCHÜLER-STR.",2
"760","BÜLOWSTR. / POTSDAMER STR.",2
"761","BÜLOWSTR. / STEINMETZSTR.",1
"762","BÜLOWSTR. / ZIETENSTR.",2
"763","BUNDESALLEE",8
"764","BUNDESALLEE / DETMOLDER STR. / WEXSTR. / BUNDESPLATZ",1
"765","BUNDESALLEE / DURLACHER STR. / HILDEGARDSTR.",2
"766","BUNDESALLEE / GÖRRESSTR. / SARRAZINSTR. / FRIEDRICH-WILHELM-PLATZ",2
"767","BUNDESALLEE / HOHENZOLLERNDAMM / NACHODSTR.",8
"768","BUNDESALLEE / KUNDRYSTR.",1
"769","BUNDESALLEE / MEIEROTTOSTR. / PARISER STR. / SPICHERNSTR.",1
"770","BUNDESALLEE / RHEINSTR. / SCHLOßSTR. / SCHÖNEBERGER STR. / WALTHER-SCHREIBER-PLA",2
"771","BUNDESALLEE / SÜDWESTKORSO / VARZINER STR.",1
"772","BUNDESALLEE / WAGHÄUSELER STR.",1
"773","BUNDESPLATZ",1
"774","BUNDESRATUFER / HANSA-UFER / LEVETZOWSTR. / HANSABRÜCKE",2
"775","BUNDESRING / PARADESTR.",1
"776","BUNDESSTR. 2",3
"777","BUNDESSTR. 2 / AM LUCHGRABEN",1
"778","BUNDESSTR. 2 / BLANKENBURGER PFLASTERWEG / DORFSTR.",1
"779","BUNTZELSTR. / GROTTEWITZSTR. / SCHULZENDORFER STR. / WALTERSDORFER STR.",2
"780","BUNTZELSTR. / PARADIESSTR.",1
"781","BURGEMEISTERSTR.",2
"782","BÜRGERSTR.",1
"783","BÜRGERSTR. / RUNGIUSSTR.",1
"784","BURGFRAUENSTR. / HOHEFELDSTR.",1
"785","BURGFRAUENSTR. / ROEDERNSTR.",1
"786","BURGHERRENSTR. / DUDENSTR.",1
"787","BURGSDORFSTR. / MÜLLERSTR.",1
"788","BURGSDORFSTR. / WILLDENOWSTR.",1
"789","BURGSTR.",4
"790","BÜRKNERSTR.",3
"791","BÜRKNERSTR. / FRIEDELSTR. / MAYBACHUFER / HOBRECHTBRÜCKE",2
"792","BÜRKNERSTR. / HOBRECHTSTR.",1
"793","BUSCHALLEE",1
"794","BUSCHALLEE / HANSASTR.",1
"795","BUSCHALLEE / SEEWEG / BERLINER ALLEE",1
"796","BUSCHGRABENWEG / GUTZMANNSTR. / MACHNOWER STR.",3
"797","BÜSCHINGSTR.",1
"798","BUSCHKRUGALLEE",1
"799","BUSCHKRUGALLEE / GIELOWER STR. / GRÜNER WEG / RUDOWER STR.",1
"800","BUSCHKRUGALLEE / MARIENTALER STR.",1
"801","BUSCHKRUGALLEE / PARCHIMER ALLEE",1
"802","BUSSEALLEE / NEUE STR. / POTSDAMER STR.",1
"803","BÜTOWER STR. / HULTSCHINER DAMM",2
"804","BUTTENSTEDTWEG",1
"805","CALIGARIPLATZ / GUSTAV-ADOLF-STR. / HEINERSDORFER STR. / PRENZLAUER PROMENADE",2
"806","CANTIANSTR.",1
"807","CANTIANSTR. / SCHÖNHAUSER ALLEE / TOPSSTR.",6
"808","CANTORSTEIG / KÖNIGSTR.",1
"809","CARDINALSTR. / LINDENSTR.",1
"810","CASPAR-THEYß-STR. / PAULSBORNER STR. / GRIESER PLATZ",1
"811","CAUERSTR. / EINSTEINUFER / GALVANISTR. / DOVEBRÜCKE",1
"812","CAUERSTR. / LEIBNIZSTR. / OTTO-SUHR-ALLEE",3
"813","CAUTIUSSTR. / MICHELSTADTER WEG",1
"814","CAUTIUSSTR. / SCHÖNWALDER ALLEE",2
"815","CAUTIUSSTR. / SCHWENDYWEG",1
"816","CECILIENSTR.",2
"817","CECILIENSTR. / BLUMBERGER DAMM",2
"818","CHAHORNALLEE / KAISERDAMM / THEODOR-HEUSS-PLATZ",1
"819","CHARITÉPLATZ",1
"820","CHARITÉSTR. / REINHARDTSTR.",1
"821","CHARLES-CORCELLE-RING",2
"822","CHARLOTTENB",2
"823","CHARLOTTENBRUNNER STR. / ORBER STR.",1
"824","CHARLOTTENBURGER STR.",1
"825","CHARLOTTENBURGER STR. / GUSTAV-ADOLF-STR.",1
"826","CHARLOTTENBURGER STR. / ROELCKESTR.",1
"827","CHARLOTTENSTR.",5
"828","CHARLOTTENSTR. / BEHRENSTR.",3
"829","CHARLOTTENSTR. / FRANZÖSISCHE STR.",1
"830","CHARLOTTENSTR. / KRAUSENSTR.",1
"831","CHARLOTTENSTR. / KRONENSTR.",1
"832","CHARLOTTENSTR. / LEIPZIGER STR.",4
"833","CHARLOTTENSTR. / MITTELSTR.",1
"834","CHARLOTTENSTR. / MOHRENSTR.",1
"835","CHARLOTTENSTR. / RUDI-DUTSCHKE-STR.",1
"836","CHARLOTTENSTR. / UNTER DEN LINDEN",1
"837","CHARLOTTENSTR. / ZIMMERSTR.",1
"838","CHAUSSEESTR.",10
"839","CHAUSSEESTR. / FRIEDRICHSTR. / TORSTR. / HANNOVERSCHE STR. / ORANIENBURGER TOR",3
"840","CHAUSSEESTR. / HABERSAATHSTR.",1
"841","CHAUSSEESTR. / INVALIDENSTR.",5
"842","CHAUSSEESTR. / LIESENSTR.",4
"843","CHEMNITZER STR.",1
"844","CHEMNITZER STR. / HEERSTR.",3
"845","CHEMNITZER STR. / LINDENSTR.",1
"846","CHODOWIECKISTR. / GREIFSWALDER STR.",1
"847","CHODOWIECKISTR. / PRENZLAUER ALLEE",3
"848","CHOPINSTR.",2
"849","CHOPINSTR. / HANSASTR. / INDIRA-GANDHI-STR.",1
"850","CHORINER STR.",5
"851","CHORINER STR. / LOTTUMSTR.",1
"852","CHORINER STR. / ODERBERGER STR. / SCHÖNHAUSER ALLEE / SREDZKISTR.",4
"853","CHORINER STR. / ZIONSKIRCHSTR.",1
"854","CHORWEILERSTR.",1
"855","CHRISTBURGER STR.",2
"856","CHRISTBURGER STR. / GREIFSWALDER STR. / PASTEURSTR.",1
"857","CHRISTBURGER STR. / PRENZLAUER ALLEE / SREDZKISTR.",1
"858","CHRISTINENSTR. / FEHRBELLINER STR. / TEUTOBURGER PLATZ",1
"859","CHRISTINENSTR. / SCHWEDTER STR.",1
"860","CHRISTSTR. / DANCKELMANNSTR.",1
"861","CICEROSTR. / SEESENER STR.",1
"862","CLAUERTSTR.",2
"863","CLAUERTSTR. / KÖNIGSWEG",1
"864","CLAUERTSTR. / LINDENTHALER ALLEE",2
"865","CLAUSEWITZSTR. / KURFÜRSTENDAMM",1
"866","CLAYALLEE",4
"867","CLAYALLEE / HÜTTENWEG",2
"868","CLAYALLEE / IM DOL",2
"869","CLAYALLEE / KÖNIGIN-LUISE-STR. / IM JAGEN",1
"870","CLAYALLEE / MESSELSTR. / WALDMEISTERSTR.",1
"871","CLAYALLEE / PÜCKLERSTR.",1
"872","CLAYALLEE / SOPHIE-CHARLOTTE-STR.",1
"873","COLBESTR. / FRANKFURTER ALLEE",2
"874","COLBESTR. / SCHARNWEBERSTR.",1
"875","COLUMBIADAMM",7
"876","COLUMBIADAMM / FLUGHAFENSTR. / FONTANESTR.",1
"877","COLUMBIADAMM / GOLßENER STR.",3
"878","COLUMBIADAMM / LILIENTHALSTR.",1
"879","COLUMBIADAMM / PLATZ DER LUFTBRÜCKE / EHEMALIGER FLUGHAFEN TEMPELHOF",2
"880","CONRADSTR. / KÖNIGSTR.",1
"881","COURBIÈRESTR. / EISENACHER STR. / KLEISTSTR.",1
"882","CUNOSTR.",1
"883","CUNOSTR. / FORCKENBECKSTR.",1
"884","CUNOSTR. / REICHENHALLER STR.",1
"885","CUVRYSTR. / SCHLESISCHE STR.",2
"886","CYCLOPSTR.",1
"887","CZARNIKAUER STR. / FINNLÄNDISCHE STR. / MALMÖER STR.",1
"888","CZEMINSKISTR.",2
"889","DAHLEMER WEG",1
"890","DAHLEMER WEG / FINCKENSTEINALLEE / MÜHLENSTR.",2
"891","DAHLEMER WEG / PERSANTESTR.",1
"892","DAHLWITZER STR. / HAMBURGER STR.",1
"893","DAHMESTR.",2
"894","DAHMESTR. / KABLOWER WEG",1
"895","DAHMESTR. / SCHULZENDORFER STR.",1
"896","DAIMLERSTR. / DAIMLERSTR.",1
"897","DAIMLERSTR. / RICHARD-TAUBER-DAMM / SÄNTISSTR.",1
"898","DALANDWEG",1
"899","DAMASCHKESTR. / JOACHIM-FRIEDRICH-STR. / KRACAUERPLATZ",2
"900","DAMEROWSTR.",1
"901","DAMMWEG / KÖPENICKER LANDSTR.",1
"902","DANCKELMANNSTR.",2
"903","DANCKELMANNSTR. / KAISERDAMM / WITZLEBENPLATZ",1
"904","DANCKELMANNSTR. / SEELINGSTR.",1
"905","DÄNENSTR.",1
"906","DÄNENSTR. / SCHÖNFLIEßER STR.",1
"907","DÄNENSTR. / SCHÖNHAUSER ALLEE / SCHÖNHAUSER-ALLEE-BRÜCKE",3
"908","DANNECKERSTR. / STRALAUER ALLEE",1
"909","DANNENWALDER WEG",1
"910","DANNENWALDER WEG / FINSTERWALDER STR. / WILHELMSRUHER DAMM",3
"911","DANNENWALDER WEG / TREUENBRIETZENER STR. / WILHELMSRUHER DAMM",3
"912","DANZIGER STR.",7
"913","DANZIGER STR. / BÖTZOWSTR.",2
"914","DANZIGER STR. / COTHENIUSSTR.",1
"915","DANZIGER STR. / DIESTERWEGSTR.",2
"916","DANZIGER STR. / DUNCKERSTR.",1
"917","DANZIGER STR. / EBERSWALDER STR. / KASTANIENALLEE / PAPPELALLEE / SCHÖNHAUSER AL",13
"918","DANZIGER STR. / ELLA-KAY-STR.",1
"919","DANZIGER STR. / ERICH-BOLTZE-STR. / MARGARETE-SOMMER-STR.",2
