"","street1","accidents","lon","lat"
"107","ALT-KAULSDORF / MYSLOWITZER STR.",1,13.590867,52.5049743
"108","ALT-KÖPENICK",1,13.5746686,52.4458909
"109","ALT-KÖPENICK / FREIHEIT",1,13.5769115,52.4480955
"110","ALT-KÖPENICK / FREIHEIT / KIRCHSTR. / LUISENHAIN",1,13.5738874,52.4455204
"111","ALT-KÖPENICK / GRÜNSTR.",1,13.5746686,52.4458909
"112","ALT-KÖPENICK / MÜGGELHEIMER STR. / LUISENHAIN / LANGE BRÜCKE (DAHME)",1,13.5719312,52.4443651
"113","ALT-LANKWITZ / EDENKOBENER WEG / KAISER-WILHELM-STR.",1,13.3515429,52.4403334
"114","ALT-LICHTENRADE",1,13.4109093,52.3961834
"115","ALT-LICHTENRADE / LICHTENRADER DAMM / POTSDAMER STR.",1,13.4068642,52.4045239
"116","ALT-LIETZOW / LOSCHMIDTSTR.",2,13.3133359,52.5176529
"117","ALT-LIETZOW / WARBURGZEILE",1,13.3115617,52.5178609
"118","ALT-LIETZOW / WINTERSTEINSTR.",2,13.306453,52.5181103
"119","ALT-MAHLSDORF / HÖNOWER STR. / HULTSCHINER DAMM",1,13.6133836,52.5048966
"120","ALT-MAHLSDORF / NEUENHAGENER STR.",1,13.6064413,52.5048346
"121","ALT-MARIENDORF",1,13.3886011,52.4403936
"122","ALT-MARIENDORF / BRITZER STR. / REIßECKSTR. / RIXDORFER STR.",1,13.3954874,52.4400661
"123","ALT-MARIENDORF / FORDDAMM",2,13.3825984,52.4394
"124","ALT-MARIENDORF / GROßBEERENSTR. / RATHAUSSTR.",1,13.3815804,52.4392471
"125","ALT-MARIENDORF / MARIENDORFER DAMM",4,13.3873958,52.4401878
"126","ALTMARKSTR. / CANOVASTR. / CRANACHSTR. / SACHSENWALDSTR. / THORWALDSENSTR.",1,13.342823,52.4630846
"127","ALT-MOABIT / BEUSSELSTR. / KAISERIN-AUGUSTA-ALLEE",2,13.3274849,52.5243516
"128","ALT-MOABIT / BOCHUMER STR.",1,13.3377334,52.5254525
"129","ALT-MOABIT / CALVINSTR.",1,13.3523298,52.5241351
"130","ALT-MOABIT / GOTZKOWSKYSTR.",1,13.329892,52.523929
"131","ALT-MOABIT / JAGOWSTR.",1,13.3341192,52.5245741
"132","ALT-MOABIT / KREFELDER STR. / THUSNELDA-ALLEE",2,13.3393164,52.5256834
"133","ALT-MOABIT / MOLTKEBRÜCKE / ELISABETH-ABEGG-STR. / ELLA-TREBE-STR. / RAHEL-HIRSC",1,13.3688251,52.521859
"134","ALT-MOABIT / OTTOSTR.",1,13.3349301,52.5247469
"135","ALT-MOABIT / PAULSTR. / RATHENOWER STR.",5,13.3570402,52.5235448
"136","ALT-MOABIT / SPENERSTR.",1,13.3539095,52.5239262
"137","ALT-MOABIT / STROMSTR.",5,13.3429614,52.5253878
"138","ALT-MOABIT / WERFTSTR. / INVALIDENSTR.",1,13.3594768,52.5232995
"139","ALT-MOABIT / ZINZENDORFSTR.",2,13.3319437,52.5241782
"140","ALT-MÜGGELHEIM / GEINSHEIMER WEG / GOSENER DAMM / KRAMPENBURGER WEG",1,13.6644326,52.4108586
"141","ALT-MÜGGELHEIM / ODERNHEIMER STR.",1,13.6628956,52.4119776
"142","ALTONAER STR.",1,13.3433644,52.5173029
"143","ALTONAER STR. / BACHSTR. / LESSINGSTR.",2,13.3397198,52.518843
"144","ALTONAER STR. / ELSFLETHER WEG",2,13.1929863,52.5320879
"145","ALTONAER STR. / GROßER STERN",2,13.3491566,52.5147314
"146","ALTONAER STR. / KLOSTERSTR.",4,13.1969612,52.5313819
"147","ALT-PICHELSDORF / HEERSTR. / PICHELSDORFER STR. / SÜDPARK",1,13.1930959,52.5154148
"148","ALT-SCHÖNOW / TELTOWER DAMM",1,13.2676904,52.4071411
"149","ALTSTÄDTER RING / CARL-SCHURZ-STR. / KLOSTERSTR. / SEEGEFELDER STR. / STABHOLZGA",5,13.199458,52.5347685
"150","ALTSTÄDTER RING / MORITZSTR.",1,13.2006271,52.5386442
"151","ALT-TEMPELHOF",1,13.3836104,52.4656683
"152","ALT-TEMPELHOF / BURCHARDSTR. / MANTEUFFELSTR.",1,13.377728,52.4659276
"153","ALT-TEMPELHOF / FUHRMANNSTR. / GERMANIASTR. / DORFAUE TEMPELHOF / STRAßE 20A",1,NA,NA
"154","ALT-TEMPELHOF / MANTEUFFELSTR. / SCHÖNEBERGER STR.",1,13.3781622,52.4663129
"155","ALT-TEMPELHOF / TEMPELHOFER DAMM / U-BHF. ALT-TEMPELHOF / DORFAUE TEMPELHOF",1,13.3856226,52.4659253
"156","ALT-TREPTOW",1,13.4503591,52.4916602
"157","ALT-TREPTOW / BULGARISCHE STR. / NEUE KRUGALLEE",6,13.4795476,52.4845091
"158","ALT-WITTENAU / EICHBORNDAMM",1,13.3265893,52.5920918
"159","ALT-WITTENAU / GORKISTR. / ROSENTRETERPROMENADE",1,13.3188292,52.5942382
"160","ALVENSLEBENSTR. / BÜLOWSTR. / KULMER STR.",1,13.3663072,52.4952761
"161","AMALIENSTR.",1,13.454751,52.5565024
"162","AMALIENSTR. / PARKSTR.",1,13.4580866,52.55486
"163","AM ANGER / THIELALLEE",1,13.2850323,52.4540343
