"","X.1","X","street1","accidents","lon","lat"
"983",3454,3454,"WICHERTSTR.",2,NA,NA
"984",3455,3455,"WICLEFSTR.",1,NA,NA
"985",3456,3456,"WIEBESTR.",1,NA,NA
"986",3457,3457,"WIESBADENER STR.",1,NA,NA
"987",3458,3458,"WIESENSTR.",2,NA,NA
"988",3459,3459,"WILDENBRUCHSTR.",3,NA,NA
"989",3460,3460,"WILDENBRUCHSTR. / KARL-KUNGER-STR.",1,NA,NA
"990",3461,3461,"WILDHÜTERWEG",1,NA,NA
"991",3462,3462,"WILHELMINE-GEMBERG-WEG / KÖPENICKER STR.",1,NA,NA
"992",3463,3463,"WILHELMINENHOFSTR.",11,NA,NA
"993",3464,3464,"WILHELM-KABUS-STR.",5,NA,NA
"994",3465,3465,"WILHELMSRUHER DAMM",5,NA,NA
"995",3466,3466,"WILHELMSRUHER DAMM / UHLANDSTR.",1,NA,NA
"996",3467,3467,"WILHELM-STOLZE-STR.",1,NA,NA
"997",3468,3468,"WILHELMSTR.",11,NA,NA
"998",3469,3469,"WILHELMSTR. / BEHRENSTR.",3,NA,NA
"999",3470,3470,"WILHELMSTR. / LEIPZIGER STR.",7,NA,NA
"1000",3471,3471,"WILHELMSTR. / UNTER DEN LINDEN",12,NA,NA
"1001",3472,3472,"WILLY-BRANDT-STR.",1,NA,NA
"1002",3473,3473,"WILLY-BRANDT-STR. / HEINRICH-VON-GAGERN-STR. / PAUL-LÖBE-ALLEE",1,NA,NA
"1003",3474,3474,"WILMERSDORFER STR.",2,NA,NA
"1004",3475,3475,"WILSNACKER STR.",3,NA,NA
"1005",3476,3476,"WILTBERGSTR.",3,NA,NA
"1006",3477,3477,"WILTINGER STR. / ZELTINGER PLATZ",1,NA,NA
"1007",3478,3478,"WINDSCHEIDSTR.",8,NA,NA
"1008",3479,3479,"WINDSCHEIDSTR. / STUTTGARTER PLATZ",1,NA,NA
"1009",3480,3480,"WINKELRIEDSTR.",1,NA,NA
"1010",3481,3481,"WINSSTR.",1,NA,NA
"1011",3482,3482,"WINTERFELDTSTR.",2,NA,NA
"1012",3483,3483,"WINTERSTEINSTR.",2,NA,NA
"1013",3484,3484,"WIPPERSTR.",1,NA,NA
"1014",3485,3485,"WISBYER STR.",2,NA,NA
"1015",3486,3486,"WISMARPLATZ",1,NA,NA
"1016",3487,3487,"WITTENBERGPLATZ",2,NA,NA
"1017",3488,3488,"WITZLEBENPLATZ",1,NA,NA
"1018",3489,3489,"WITZLEBENSTR.",1,NA,NA
"1019",3490,3490,"WOELCKPROMENADE",1,NA,NA
"1020",3491,3491,"WOLFFRING",1,NA,NA
"1021",3492,3492,"WOLFRAMSTR.",1,NA,NA
"1022",3493,3493,"WOLFSHAGENER STR.",1,NA,NA
"1023",3494,3494,"WOLGASTER STR. / BERNAUER STR.",2,NA,NA
"1024",3495,3495,"WOLLANKSTR.",9,NA,NA
"1025",3496,3496,"WOLLANKSTR. / BREHMESTR. / SCHULZESTR.",3,NA,NA
"1026",3497,3497,"WOLLANKSTR. / GÖRSCHSTR.",3,NA,NA
"1027",3498,3498,"WOLLANKSTR. / NEUE SCHÖNHOLZER STR. / SCHÖNHOLZER STR. / BREITE STR.",2,NA,NA
"1028",3499,3499,"WOLLANKSTR. / PRADELSTR.",1,NA,NA
"1029",3500,3500,"WOLZIGER ZEILE",1,NA,NA
"1030",3501,3501,"WOLZOGENSTR.",1,NA,NA
"1031",3502,3502,"WÖNNICHSTR.",1,NA,NA
"1032",3503,3503,"WÖRLITZER STR. / HAVEMANNSTR.",1,NA,NA
"1033",3504,3504,"WÖRTHER STR.",1,NA,NA
"1034",3505,3505,"WRANGELSTR.",6,NA,NA
"1035",3506,3506,"WS ACHILLESSTR. / AM ELSEBROCKEN",1,NA,NA
"1036",3507,3507,"WS AM STEINBERG / PRENZLAUER PROMENADE / THULESTR.",2,NA,NA
"1037",3508,3508,"WUHLESTR. / CECILIENSTR.",1,NA,NA
"1038",3509,3509,"WUHLETALSTR. / WUHLETALSTR.",1,NA,NA
"1039",3510,3510,"WULLENWEBERSTR.",1,NA,NA
"1040",3511,3511,"WÜRTTEMBERGISCHE STR. / ZÄHRINGERSTR.",1,NA,NA
"1041",3512,3512,"WUSTROWER STR.",1,NA,NA
"1042",3513,3513,"WUSTROWER STR. / AHRENSHOOPER STR.",1,NA,NA
"1043",3514,3514,"XANTENER STR.",3,NA,NA
"1044",3515,3515,"YITZHAK-RABIN-STR.",1,NA,NA
"1045",3516,3516,"YORCKBRÜCKEN",1,NA,NA
"1046",3517,3517,"YORCKSTR.",3,NA,NA
"1047",3518,3518,"ZAANDAMER STR.",1,NA,NA
"1048",3519,3519,"ZADEKSTR.",1,NA,NA
"1049",3520,3520,"ZECHLINER STR.",1,NA,NA
"1050",3521,3521,"ZELTINGER PLATZ / FROHNAUER BRÜCKE",1,NA,NA
"1051",3522,3522,"ZELTINGER STR. / ZERNDORFER WEG",1,NA,NA
"1052",3523,3523,"ZEPERNICKER STR.",1,NA,NA
"1053",3524,3524,"ZEPPELINSTR.",1,NA,NA
"1054",3525,3525,"ZERPENSCHLEUSER RING",1,NA,NA
"1055",3526,3526,"ZEUGHOFSTR. / KÖPENICKER STR.",3,NA,NA
"1056",3527,3527,"ZIETENPLATZ / WILHELMSTR. / MOHRENSTR. / VOßSTR.",1,NA,NA
"1057",3528,3528,"ZILLESTR.",1,NA,NA
"1058",3529,3529,"ZIMMERSTR.",1,NA,NA
"1059",3530,3530,"ZINGSTER STR.",3,NA,NA
"1060",3531,3531,"ZINGSTER STR. / AHRENSHOOPER STR.",1,NA,NA
"1061",3532,3532,"ZINNOWITZER STR.",1,NA,NA
"1062",3533,3533,"ZIPSER WEG",1,NA,NA
"1063",3534,3534,"ZOBTENER STR.",2,NA,NA
"1064",3535,3535,"ZOPPOTER STR.",1,NA,NA
"1065",3536,3536,"ZOSSENER STR.",2,NA,NA
"1066",3537,3537,"ZUR RINGALLEE / AN DER INDUSTRIEBAHN / ROELCKESTR.",2,NA,NA
"1067",3538,3538,"ZUR RINGALLEE / NÜßLERSTR. / ROELCKESTR.",2,NA,NA
"1068",3539,3539,"ZUR RINGALLEE / RENNBAHNSTR.",1,NA,NA
"1069",3540,3540,"ZWICKAUER DAMM",1,NA,NA
"1070",3541,3541,"ZWIESELER STR.",2,NA,NA
